rocket_length_cm,rocket_diameter_cm,total_mass_g,motor_type,thrust_N,burn_time_s,wind_speed_mps,angle_of_launch_deg,center_of_mass_cm,center_of_pressure_cm,stable
93.56,4.76,1619.2,A,80.54,3.54,2.23,78.5,26.17,48.04,1
59.02,7.81,1397.0,F,80.54,3.46,8.95,87.2,62.03,49.36,0
41.17,3.01,668.5,E,80.54,0.82,12.22,83.8,96.22,10.93,0
137.67,6.87,1833.0,C,80.54,2.28,5.73,78.2,55.28,102.31,1
138.05,5.09,1407.3,B,80.54,1.32,1.98,78.6,17.46,13.52,0
105.97,7.16,1208.8,C,80.54,1.21,2.95,84.4,65.8,113.42,1
70.68,2.84,399.8,E,80.54,4.22,3.56,87.4,40.62,108.13,1
71.91,9.04,1004.7,B,80.54,0.69,4.5,81.2,87.03,68.91,0
117.11,9.8,1028.6,C,80.54,2.39,9.64,78.9,49.12,69.8,1
137.65,9.77,1756.2,F,80.54,1.26,9.01,88.0,27.36,81.92,1
136.45,8.12,1184.0,B,80.54,4.46,10.44,85.0,27.2,52.58,1
123.59,3.48,884.7,A,80.54,3.01,5.44,81.7,79.19,81.19,1
107.04,8.19,1958.2,C,80.54,1.54,12.36,82.3,33.9,14.92,0
40.1,2.68,399.3,B,80.54,2.76,3.06,78.1,79.05,15.95,0
49.4,2.67,960.6,F,80.54,3.79,7.04,84.4,28.53,60.3,1
137.83,4.93,275.6,B,80.54,4.81,12.01,80.4,38.95,70.46,1
102.77,6.16,1531.8,B,80.54,1.49,2.7,89.9,51.89,107.66,1
31.1,8.28,1852.5,F,80.54,4.49,1.65,82.2,94.89,21.51,0
42.18,7.62,704.1,C,80.54,4.7,13.26,82.3,93.86,100.49,1
109.62,5.84,1745.0,D,80.54,4.62,5.14,83.5,28.62,33.11,1
30.61,4.55,726.0,C,80.54,3.36,10.26,88.8,42.24,53.35,1
49.3,9.98,1839.4,E,80.54,3.33,0.38,87.0,23.45,44.83,1
95.85,5.7,1557.1,F,80.54,2.31,10.35,81.8,55.9,54.02,0
113.03,5.89,1648.8,C,80.54,3.89,4.74,85.8,51.45,26.55,0
108.24,3.73,232.4,B,80.54,2.89,0.84,83.8,91.07,65.39,0
56.91,8.46,1933.1,F,80.54,3.55,9.15,82.4,93.7,98.18,1
115.46,7.7,1508.0,A,80.54,2.43,3.61,77.9,44.52,58.57,1
58.47,4.16,748.6,C,80.54,3.79,5.8,82.0,54.26,63.97,1
69.05,3.12,1692.9,F,80.54,4.21,1.21,78.7,90.66,103.36,1
119.58,7.6,706.7,C,80.54,1.16,2.21,88.7,82.6,87.67,1
107.96,7.41,1771.0,F,80.54,4.25,4.47,80.0,10.33,63.95,1
131.91,4.55,402.6,B,80.54,2.93,1.35,89.3,38.81,38.35,0
108.91,9.63,1466.6,A,80.54,4.3,13.66,83.0,47.96,107.34,1
98.2,3.63,1173.3,A,80.54,2.44,0.09,84.5,30.67,73.47,1
41.24,5.74,373.8,E,80.54,2.21,7.26,83.1,27.96,34.33,1
74.13,9.58,635.4,F,80.54,4.62,1.85,76.9,13.4,39.6,1
61.82,5.65,222.3,C,80.54,1.63,4.62,80.6,67.9,98.34,1
59.28,7.29,1043.8,A,80.54,4.3,13.89,76.5,33.63,14.86,0
146.76,5.48,742.3,A,80.54,2.68,2.43,84.3,14.71,119.13,1
77.17,4.56,1277.0,D,80.54,2.81,14.49,81.7,30.79,24.34,0
137.05,9.88,735.0,D,80.54,1.89,3.09,86.7,82.17,97.57,1
105.74,5.57,739.9,A,80.54,3.08,11.12,78.3,86.63,53.43,0
125.38,9.21,1537.7,F,80.54,1.96,8.2,77.5,53.48,64.14,1
90.32,4.22,286.7,E,80.54,0.68,13.27,81.1,47.45,106.87,1
99.23,4.1,1825.2,A,80.54,1.72,8.31,88.9,98.01,55.42,0
89.1,2.73,1734.1,B,80.54,0.53,8.02,85.7,28.05,69.12,1
53.43,7.39,1402.0,C,80.54,4.9,2.93,81.3,29.38,15.42,0
116.69,5.26,1267.8,E,80.54,4.85,2.49,82.8,36.27,10.26,0
63.69,8.98,1806.1,B,80.54,2.28,13.75,76.3,25.55,36.93,1
32.92,6.05,533.6,E,80.54,3.78,4.92,89.8,44.14,84.86,1
107.46,9.76,342.1,B,80.54,2.06,5.58,85.0,91.98,23.34,0
51.25,3.89,631.1,C,80.54,3.52,11.4,79.3,65.38,22.51,0
142.86,9.01,1630.2,C,80.54,4.12,5.08,83.8,47.08,55.21,1
144.47,8.32,262.4,D,80.54,4.76,14.28,76.6,94.1,81.26,0
139.78,8.28,1249.1,F,80.54,2.3,11.07,89.5,14.36,88.33,1
74.42,8.84,1991.8,B,80.54,4.02,8.96,77.6,28.92,29.63,0
31.85,8.21,1740.3,D,80.54,1.7,13.21,84.7,60.93,18.75,0
141.4,7.2,1138.6,B,80.54,4.96,0.74,78.7,65.4,113.44,1
81.38,3.48,314.6,D,80.54,0.62,3.86,85.8,13.56,38.67,1
146.0,2.74,1696.5,C,80.54,3.22,6.98,86.7,46.27,103.87,1
145.63,9.41,1278.2,E,80.54,3.47,3.4,85.1,68.42,104.98,1
132.36,7.12,406.9,D,80.54,3.6,11.16,84.2,72.83,94.98,1
65.33,8.47,368.9,B,80.54,1.04,13.79,88.4,67.43,28.57,0
76.21,6.11,1837.3,B,80.54,4.72,6.36,76.2,38.85,100.4,1
132.14,3.38,1404.6,F,80.54,1.32,5.13,80.0,18.42,94.62,1
68.03,3.44,1692.7,C,80.54,3.3,14.42,78.7,48.44,75.64,1
50.34,7.64,1782.2,B,80.54,1.5,6.67,89.8,21.59,47.09,1
96.82,5.73,1229.2,A,80.54,1.88,7.34,80.8,95.29,38.88,0
142.34,4.0,1131.4,E,80.54,2.96,5.27,86.0,52.77,23.41,0
113.52,6.19,974.8,D,80.54,2.38,13.64,85.3,38.55,66.07,1
98.41,2.98,770.5,F,80.54,1.22,8.53,78.2,78.97,74.38,0
41.66,6.86,982.3,E,80.54,1.27,11.43,78.6,54.82,49.53,0
103.8,4.52,1593.0,C,80.54,2.38,12.18,79.2,37.9,62.29,1
148.81,8.48,1283.5,F,80.54,3.91,5.13,81.2,83.08,49.99,0
46.81,4.83,1806.5,D,80.54,4.54,6.51,78.5,88.04,80.51,0
92.2,5.91,998.1,D,80.54,0.88,12.73,75.3,70.57,109.14,1
135.28,2.59,1292.8,A,80.54,2.27,5.45,88.2,14.23,28.03,1
118.89,3.04,1336.4,C,80.54,0.95,11.91,89.5,60.97,51.95,0
113.64,5.44,1265.1,F,80.54,0.57,14.11,80.1,78.7,25.5,0
114.3,6.1,1464.7,F,80.54,3.48,9.35,80.1,22.29,78.74,1
73.14,7.0,627.4,B,80.54,3.21,11.12,75.1,30.58,90.18,1
65.23,4.69,1122.3,A,80.54,1.23,12.08,85.2,89.42,112.51,1
127.12,7.71,387.6,A,80.54,1.55,12.68,87.4,11.81,40.68,1
127.21,8.95,892.1,F,80.54,0.61,5.93,77.2,77.75,114.52,1
134.05,8.35,1077.8,F,80.54,4.26,0.77,77.4,52.64,16.96,0
139.59,2.8,1374.0,E,80.54,4.89,6.03,86.9,50.21,76.33,1
91.36,6.1,1911.0,E,80.54,1.11,10.11,84.2,10.64,16.28,1
90.18,3.29,1281.2,E,80.54,1.54,6.76,75.7,83.75,108.32,1
125.8,4.32,1538.5,A,80.54,4.41,11.23,84.3,42.38,68.28,1
108.0,9.9,1111.3,B,80.54,4.67,5.35,79.6,58.67,83.63,1
114.24,3.57,1341.4,D,80.54,2.39,9.52,80.5,70.96,101.47,1
125.5,6.24,327.7,E,80.54,0.73,2.8,86.5,73.24,26.53,0
136.8,7.14,657.9,B,80.54,0.68,11.24,87.2,96.04,14.25,0
70.56,7.77,851.3,C,80.54,3.08,8.19,81.0,57.82,106.68,1
75.07,6.7,1050.5,E,80.54,2.27,3.06,89.2,45.97,44.64,0
41.28,2.57,282.2,D,80.54,0.63,4.38,81.1,95.83,24.19,0
99.39,4.95,452.0,C,80.54,3.12,11.23,86.6,67.79,61.53,0
34.31,6.38,698.3,C,80.54,0.55,7.24,82.3,36.83,75.81,1
85.87,3.16,1948.8,D,80.54,4.04,3.24,88.5,21.38,13.41,0
95.12,5.13,796.4,E,80.54,1.88,14.51,88.6,85.83,40.24,0
64.38,2.75,1067.7,A,80.54,0.68,10.73,76.3,42.6,13.61,0
100.9,3.09,553.0,D,80.54,3.15,14.36,89.0,69.44,56.24,0
33.66,5.48,1299.4,D,80.54,2.29,6.41,87.4,52.37,108.46,1
34.48,3.5,705.2,D,80.54,4.88,7.13,86.9,27.9,118.09,1
128.71,6.76,572.6,C,80.54,2.95,13.47,78.0,64.15,80.08,1
73.22,7.67,1129.8,B,80.54,1.74,7.88,87.1,15.46,27.78,1
45.25,8.5,209.9,A,80.54,3.69,10.61,87.8,47.2,109.64,1
92.67,4.0,213.8,E,80.54,1.72,3.78,79.3,59.2,66.79,1
122.4,3.76,594.3,E,80.54,4.57,6.7,89.3,49.24,26.91,0
55.9,3.28,266.1,B,80.54,2.19,1.85,75.7,77.38,111.39,1
104.75,7.27,394.4,D,80.54,2.97,3.09,77.2,84.51,93.32,1
40.24,7.8,809.9,A,80.54,0.73,0.01,83.1,79.41,90.49,1
36.2,2.74,1644.7,E,80.54,2.42,0.59,83.6,13.49,88.01,1
93.76,9.52,1229.7,F,80.54,4.25,14.66,84.7,27.47,32.04,1
94.88,2.89,1122.8,E,80.54,4.13,3.64,75.3,58.29,33.21,0
106.49,6.56,728.3,D,80.54,1.51,9.95,89.4,94.13,85.71,0
117.13,7.82,1877.2,F,80.54,1.52,12.59,75.7,85.15,34.17,0
147.1,9.03,914.6,B,80.54,4.18,8.26,77.1,85.83,58.25,0
91.96,7.86,356.8,A,80.54,4.69,2.3,75.2,37.29,96.02,1
68.75,8.51,1310.7,B,80.54,0.93,10.92,83.5,48.65,96.23,1
125.42,5.05,404.9,B,80.54,2.53,9.0,89.0,52.36,59.86,1
62.5,8.61,821.4,A,80.54,2.02,10.97,85.0,24.16,97.14,1
82.68,3.1,1113.3,A,80.54,4.42,11.55,87.3,12.8,102.25,1
39.41,9.21,1773.6,E,80.54,0.88,14.63,75.2,95.22,82.03,0
33.04,6.61,1088.4,E,80.54,1.45,8.6,83.1,31.66,35.13,1
145.52,8.63,1464.1,A,80.54,3.89,5.12,81.9,31.6,40.14,1
130.32,5.89,1987.1,F,80.54,0.73,9.73,82.5,17.5,44.63,1
113.52,7.33,436.7,C,80.54,2.72,1.03,76.1,93.57,22.85,0
79.07,6.45,694.5,E,80.54,2.49,13.46,85.3,62.18,40.05,0
50.8,7.99,910.2,C,80.54,2.0,1.79,82.5,70.03,33.05,0
48.77,3.11,959.3,F,80.54,2.28,4.92,86.5,92.04,60.09,0
60.03,2.95,939.8,A,80.54,2.88,12.24,82.3,41.11,109.93,1
95.91,4.35,1833.7,F,80.54,1.23,8.96,77.2,65.94,21.49,0
115.75,3.7,1485.3,E,80.54,3.07,5.9,84.7,13.49,89.23,1
109.22,9.04,1294.2,B,80.54,4.12,7.1,77.6,26.81,85.6,1
63.59,4.14,756.9,A,80.54,3.92,12.82,88.1,84.81,20.53,0
144.58,9.82,1682.8,D,80.54,1.19,5.1,84.2,79.01,111.48,1
118.55,5.03,1919.1,C,80.54,1.17,13.04,77.4,41.56,72.53,1
96.52,3.87,1678.2,F,80.54,1.71,1.32,89.4,43.91,50.01,1
103.41,8.42,202.8,A,80.54,2.12,11.65,82.8,58.02,93.22,1
80.35,7.44,1345.5,F,80.54,2.34,12.71,76.1,10.02,38.31,1
59.73,6.24,292.0,A,80.54,3.56,2.73,84.4,31.71,86.29,1
72.72,6.67,663.7,E,80.54,0.76,6.46,78.8,28.74,14.37,0
120.94,7.89,307.1,E,80.54,0.66,2.48,87.1,32.54,102.33,1
31.73,4.21,1286.8,E,80.54,2.26,10.6,87.3,82.53,59.3,0
43.93,9.97,1435.9,F,80.54,3.64,8.03,89.7,35.17,80.04,1
35.52,9.81,406.1,D,80.54,1.37,9.53,82.5,27.24,34.34,1
34.89,7.38,890.9,E,80.54,3.39,2.95,81.8,55.38,84.48,1
132.66,4.0,1021.2,A,80.54,1.67,3.18,86.3,87.91,94.95,1
114.44,7.6,864.3,E,80.54,4.49,0.62,77.0,31.72,62.05,1
86.9,3.04,417.8,B,80.54,4.53,4.83,83.2,17.07,77.95,1
41.74,2.73,954.1,E,80.54,1.84,8.4,83.2,42.08,60.2,1
