rocket_length_cm,rocket_diameter_cm,total_mass_g,thrust_N,burn_time_s,wind_speed_mps,angle_of_launch_deg,center_of_mass_cm,center_of_pressure_cm,stable,motor_type_A,motor_type_B,motor_type_C,motor_type_D,motor_type_E
50.2,9.49,530.2,12.67,3.76,2.72,79.6,22.77,30.7,1,0,0,1,0,0
75.16,8.24,1110.23,17.61,1.34,7.37,37.64,22.9,36.98,1,0,0,1,0,0
46.13,6.61,1814.62,6.57,2.77,5.22,81.28,21.2,21.15,0,0,1,0,0,0
114.96,9.31,577.63,18.13,2.62,9.5,70.73,68.28,65.48,0,0,0,1,0,0
58.34,9.0,1928.21,11.09,1.41,2.65,89.3,25.56,40.34,1,0,0,1,0,0
108.35,8.04,1538.41,58.03,3.69,4.04,36.82,73.37,56.28,0,0,0,0,0,1
63.67,8.54,1204.5,67.39,2.31,6.02,62.19,24.42,31.58,1,0,0,0,0,1
52.9,9.85,841.56,65.06,1.23,5.65,34.16,17.63,24.16,1,0,0,0,0,1
33.78,6.78,1407.62,21.25,3.74,4.7,60.17,14.45,23.19,1,0,0,0,1,0
91.65,2.09,1782.72,44.13,0.73,2.08,57.64,56.09,67.14,1,0,0,0,0,1
115.18,6.97,318.08,2.51,3.27,2.44,32.94,79.15,89.77,1,1,0,0,0,0
34.55,7.77,464.74,74.89,4.99,1.79,44.4,18.36,22.06,1,0,0,0,0,1
91.49,3.35,244.64,13.12,2.51,0.29,38.2,41.74,66.29,1,0,0,1,0,0
47.88,6.68,1611.42,11.86,4.05,9.65,87.36,18.5,30.74,1,0,0,1,0,0
119.19,5.32,1874.71,66.83,1.93,0.97,33.09,59.11,55.52,0,0,0,0,0,1
115.88,5.41,850.87,3.72,3.03,6.37,67.66,54.56,78.94,1,1,0,0,0,0
77.18,5.68,563.15,55.2,4.35,6.98,88.33,32.76,56.71,1,0,0,0,0,1
83.66,3.98,351.88,34.82,4.93,5.1,87.3,40.14,50.64,1,0,0,0,1,0
70.32,7.86,1998.35,18.11,1.92,5.73,42.27,27.28,47.1,1,0,0,1,0,0
110.79,7.74,1985.55,18.55,2.3,1.62,39.57,58.19,53.91,0,0,0,1,0,0
119.15,2.61,1195.36,8.17,3.77,6.65,57.32,70.06,81.09,1,0,1,0,0,0
86.93,6.53,1913.88,46.57,4.64,5.55,77.46,32.84,53.23,1,0,0,0,0,1
54.76,3.13,764.49,25.17,1.13,5.64,75.43,29.91,30.27,0,0,0,0,1,0
77.96,7.88,760.2,37.21,3.6,9.05,44.44,24.3,34.82,1,0,0,0,1,0
99.42,5.84,1919.67,7.39,4.61,2.0,42.88,33.18,50.58,1,0,1,0,0,0
66.17,3.44,1485.41,5.63,3.37,2.11,59.1,26.91,37.83,1,0,1,0,0,0
116.45,9.48,1669.51,4.77,4.63,7.62,45.83,62.39,51.28,0,1,0,0,0,0
80.75,5.23,851.41,17.24,4.77,3.04,66.28,48.39,52.53,1,0,0,1,0,0
34.76,7.65,1770.17,16.34,2.0,8.71,67.78,20.06,15.93,0,0,0,1,0,0
112.41,8.39,737.87,16.57,3.42,6.45,64.95,69.87,48.24,0,0,0,1,0,0
107.37,9.15,477.99,31.72,1.17,2.16,80.94,37.8,78.84,1,0,0,0,1,0
112.84,6.39,1704.61,9.38,3.91,3.05,64.93,44.55,70.44,1,0,1,0,0,0
118.51,3.33,1745.66,3.76,4.16,6.13,47.44,44.05,56.35,1,1,0,0,0,0
101.19,6.86,1388.61,2.11,4.02,4.87,87.02,31.31,47.58,1,1,0,0,0,0
96.12,7.54,1030.81,51.63,3.54,6.12,52.04,40.85,58.91,1,0,0,0,0,1
52.6,5.46,1347.74,16.86,3.42,6.17,48.88,26.06,24.19,0,0,0,1,0,0
84.18,6.37,257.88,46.94,3.05,2.05,55.7,45.16,55.82,1,0,0,0,0,1
106.91,9.79,905.65,10.28,2.42,8.46,42.55,37.43,50.52,1,0,0,1,0,0
49.34,4.88,1543.38,35.69,4.38,3.98,64.89,21.43,23.9,1,0,0,0,1,0
72.99,6.74,1058.82,52.02,4.86,3.17,44.17,27.02,38.71,1,0,0,0,0,1
41.78,6.06,1774.6,58.43,3.52,4.8,74.74,28.89,23.45,0,0,0,0,0,1
75.38,7.05,1135.98,3.92,3.32,8.1,85.41,25.11,54.43,1,1,0,0,0,0
35.22,2.58,1327.9,3.98,3.3,0.54,88.39,21.92,22.37,0,1,0,0,0,0
118.15,9.4,242.22,14.77,3.5,8.5,80.27,68.86,80.69,1,0,0,1,0,0
101.87,9.02,1411.2,32.89,1.08,4.43,65.31,55.88,41.36,0,0,0,0,1,0
117.68,9.82,1703.51,9.33,4.27,6.3,53.75,62.86,72.47,1,0,1,0,0,0
69.98,8.86,400.9,3.69,3.13,8.14,82.64,34.18,50.57,1,1,0,0,0,0
42.65,5.77,925.23,5.84,2.56,0.96,65.79,18.65,21.34,1,0,1,0,0,0
93.81,7.43,1378.57,6.88,1.9,0.62,62.81,28.47,55.23,1,0,1,0,0,0
82.72,2.59,248.47,72.41,4.98,7.76,82.15,48.0,58.83,1,0,0,0,0,1
62.49,3.93,380.43,43.7,0.52,4.67,36.44,37.88,40.62,1,0,0,0,0,1
89.79,6.0,1741.42,54.2,4.59,1.97,88.96,57.35,45.21,0,0,0,0,0,1
85.53,4.21,857.0,30.02,1.96,3.61,82.78,28.34,64.23,1,0,0,0,1,0
113.36,7.17,535.67,5.1,4.84,2.23,64.96,49.01,72.36,1,0,1,0,0,0
41.73,7.03,1674.97,19.05,3.94,6.58,81.65,16.85,26.33,1,0,0,1,0,0
115.25,9.6,1190.79,8.52,4.42,3.05,56.43,54.09,49.7,0,0,1,0,0,0
33.22,6.46,956.57,67.76,3.6,6.01,55.76,20.9,16.41,0,0,0,0,0,1
33.13,6.6,1961.13,21.32,3.13,4.84,62.66,10.54,13.99,1,0,0,0,1,0
69.49,5.01,1372.91,3.18,4.24,9.97,36.8,39.82,47.08,1,1,0,0,0,0
105.05,6.03,1509.44,32.97,1.69,5.28,63.15,45.22,58.99,1,0,0,0,1,0
61.9,5.32,295.38,7.57,1.6,0.63,74.14,41.54,25.07,0,0,1,0,0,0
55.44,8.14,999.39,18.18,1.84,0.82,31.86,21.87,42.76,1,0,0,1,0,0
118.41,8.37,1633.4,27.66,1.47,8.4,36.71,55.24,61.04,1,0,0,0,1,0
38.1,9.51,1745.92,15.41,3.21,5.4,65.14,19.58,27.27,1,0,0,1,0,0
80.5,3.52,1121.29,56.83,3.26,5.38,52.74,50.9,55.4,1,0,0,0,0,1
31.56,9.79,372.13,9.39,1.35,7.94,44.24,9.53,24.1,1,0,1,0,0,0
61.52,9.36,1928.25,19.61,3.34,6.66,73.14,25.08,39.4,1,0,0,1,0,0
80.75,9.33,750.81,6.29,3.71,2.23,64.38,56.1,35.29,0,0,1,0,0,0
57.2,2.3,824.09,14.18,4.35,9.97,52.19,39.91,38.02,0,0,0,1,0,0
105.47,4.57,1178.84,16.01,3.85,2.72,47.78,63.54,53.75,0,0,0,1,0,0
35.58,3.85,968.36,2.91,3.54,4.88,84.17,17.26,17.1,0,1,0,0,0,0
75.07,9.55,1639.3,54.24,1.43,1.54,51.5,29.65,43.16,1,0,0,0,0,1
69.49,4.71,1259.15,17.37,3.78,4.65,68.86,30.58,51.23,1,0,0,1,0,0
50.76,7.75,1305.14,16.65,1.84,2.72,45.55,30.41,37.31,1,0,0,1,0,0
74.94,2.02,1981.0,6.92,3.55,7.93,81.37,28.54,36.12,1,0,1,0,0,0
69.66,9.1,941.85,3.69,3.58,0.42,76.19,42.33,45.35,1,1,0,0,0,0
61.87,5.0,371.07,3.63,2.06,9.75,41.29,22.01,44.61,1,1,0,0,0,0
104.68,3.92,591.51,6.83,3.91,1.21,33.57,42.16,64.66,1,0,1,0,0,0
56.69,3.07,302.02,4.13,4.01,2.7,80.41,31.36,31.94,0,1,0,0,0,0
58.29,4.95,1531.37,15.99,1.68,7.52,72.76,29.56,28.61,0,0,0,1,0,0
76.39,2.97,1932.01,38.75,3.95,6.64,76.9,34.23,46.28,1,0,0,0,1,0
58.85,3.4,602.53,18.14,3.4,6.45,66.55,21.37,25.06,1,0,0,1,0,0
36.56,7.74,1552.85,15.42,3.4,7.42,80.53,17.69,16.28,0,0,0,1,0,0
67.25,3.14,501.21,42.19,3.7,1.23,77.11,26.07,33.94,1,0,0,0,0,1
108.96,4.77,1020.08,9.33,4.73,5.2,39.78,40.02,68.89,1,0,1,0,0,0
43.44,2.72,1659.66,11.77,1.37,1.74,39.94,15.15,19.72,1,0,0,1,0,0
55.77,9.2,313.69,4.29,3.69,1.06,67.11,30.73,41.41,1,1,0,0,0,0
89.79,6.76,744.29,5.23,4.61,4.92,66.72,41.12,39.44,0,0,1,0,0,0
115.15,7.75,1024.35,34.61,2.31,2.42,54.37,80.6,48.7,0,0,0,0,1,0
42.71,3.87,1748.58,5.92,2.19,2.72,50.18,15.93,33.12,1,0,1,0,0,0
65.0,3.67,1288.2,2.16,3.51,5.31,72.23,25.18,32.0,1,1,0,0,0,0
41.13,6.17,1399.22,4.74,0.8,4.36,71.79,14.94,24.03,1,1,0,0,0,0
41.45,5.93,293.45,3.92,4.73,9.83,80.46,24.46,20.46,0,1,0,0,0,0
60.62,6.48,1134.55,51.13,0.66,1.45,41.0,21.11,38.33,1,0,0,0,0,1
36.31,8.25,1033.03,4.39,1.12,8.25,37.27,16.61,22.71,1,1,0,0,0,0
89.25,7.47,782.95,4.51,0.64,9.1,52.25,54.07,62.25,1,1,0,0,0,0
36.34,7.82,536.88,60.45,3.2,5.19,57.98,24.46,25.6,0,0,0,0,0,1
64.78,8.72,200.65,3.52,1.18,6.31,69.76,42.59,49.9,1,1,0,0,0,0
32.78,4.45,1874.58,51.05,3.7,8.91,30.77,10.95,26.11,1,0,0,0,0,1
111.77,5.65,220.6,6.63,0.61,1.21,78.83,56.73,77.92,1,0,1,0,0,0
75.61,6.89,1683.58,39.83,1.17,7.82,78.85,50.87,59.99,1,0,0,0,1,0
93.86,3.05,1265.64,67.19,0.85,3.62,44.4,60.71,46.94,0,0,0,0,0,1
110.01,9.99,443.86,35.58,1.7,3.73,50.62,53.65,79.71,1,0,0,0,1,0
78.76,2.73,1146.82,37.22,2.2,2.14,85.68,36.37,38.86,1,0,0,0,1,0
66.07,4.73,882.63,19.52,1.03,0.68,35.34,43.71,38.94,0,0,0,1,0,0
116.13,7.87,1997.49,39.31,0.97,5.45,58.22,70.36,75.86,1,0,0,0,1,0
91.69,9.42,1984.57,19.25,1.54,3.92,76.78,37.24,43.93,1,0,0,1,0,0
78.18,2.92,978.85,72.01,4.34,3.74,48.11,34.85,49.15,1,0,0,0,0,1
37.91,2.94,904.63,4.38,4.74,2.94,38.93,13.85,19.66,1,1,0,0,0,0
57.36,6.53,966.33,2.17,1.8,7.77,48.2,26.73,24.77,0,1,0,0,0,0
90.98,6.52,421.89,25.09,2.44,0.67,83.13,44.78,51.76,1,0,0,0,1,0
111.71,7.05,842.41,3.25,1.36,9.11,46.59,47.35,85.62,1,1,0,0,0,0
94.42,8.23,1634.04,3.24,1.01,4.73,41.57,57.33,51.1,0,1,0,0,0,0
42.48,5.5,1205.71,13.7,1.58,6.86,37.28,19.08,31.73,1,0,0,1,0,0
55.51,7.02,945.55,19.19,0.71,5.47,64.1,17.58,23.04,1,0,0,1,0,0
49.33,9.99,1902.12,7.93,3.5,5.72,48.23,32.9,31.07,0,0,1,0,0,0
116.9,7.4,1947.81,8.16,2.33,8.5,55.35,71.62,51.75,0,0,1,0,0,0
119.39,7.42,566.2,11.05,3.22,3.05,77.44,45.6,90.81,1,0,0,1,0,0
90.92,4.92,1430.71,75.01,1.42,3.39,45.34,39.32,49.39,1,0,0,0,0,1
92.9,8.91,1402.41,22.73,1.99,4.86,89.64,38.63,38.54,0,0,0,0,1,0
