,length,diameter,mass,motor_thrust,burn_time,cg,cp,material,stable
234,47.57,7.56,1068.1,90.4,0.55,23.83,33.95,1.0,1
235,95.02,5.58,971.2,62.2,1.29,38.15,81.05,2.0,1
236,55.27,9.05,1360.0,59.5,0.64,29.75,43.84,2.0,1
237,32.19,6.31,440.9,192.8,2.42,17.13,25.6,1.0,1
238,88.09,9.78,302.7,130.9,2.26,35.91,75.76,2.0,1
239,45.94,4.3,511.4,120.2,1.33,21.76,39.88,1.0,1
240,114.64,9.08,1233.0,94.8,2.19,68.3,100.42,0.0,1
241,115.85,8.44,245.1,97.2,1.49,56.09,72.81,0.0,1
242,112.34,8.4,957.6,117.4,2.39,56.21,85.74,1.0,1
243,63.31,8.91,1494.1,145.4,1.64,36.85,52.05,1.0,1
244,31.39,8.33,1312.4,146.4,1.53,17.06,25.96,1.0,1
245,113.55,7.38,877.9,50.9,2.84,58.64,88.8,1.0,1
246,68.54,3.92,282.7,110.0,1.13,38.35,44.55,0.0,1
247,117.0,3.23,1280.8,94.2,0.8,67.03,98.19,2.0,1
248,116.73,9.45,978.7,176.7,1.96,57.36,95.25,2.0,1
249,106.77,7.32,349.4,133.7,2.92,52.85,66.82,0.0,1
250,56.5,8.58,322.0,115.9,1.44,26.96,41.76,2.0,1
251,64.66,6.37,1382.5,40.8,0.66,38.36,42.17,0.0,0
252,106.6,3.82,1070.0,129.0,1.35,57.5,74.75,2.0,1
253,58.52,3.88,1278.1,41.1,1.76,24.38,35.43,1.0,1
254,45.25,7.8,1342.7,80.7,0.9,25.91,32.59,1.0,0
255,80.11,6.01,943.3,45.7,2.15,39.74,61.28,1.0,1
256,114.25,4.4,872.7,144.6,2.99,47.27,89.79,0.0,1
257,92.64,6.44,759.6,57.1,1.63,47.24,74.03,0.0,1
258,81.31,3.45,612.0,90.5,1.39,39.31,69.18,2.0,1
259,38.75,7.07,765.0,181.2,1.5,22.3,25.75,2.0,0
260,85.35,4.88,1206.0,56.8,0.79,37.62,54.3,2.0,1
261,119.1,8.58,982.5,111.4,2.71,67.33,101.89,0.0,1
262,42.61,5.17,1360.3,95.5,1.54,21.8,27.57,2.0,1
263,76.65,6.19,776.4,23.3,1.47,31.5,68.4,1.0,1
264,108.96,3.08,989.2,162.7,2.15,64.76,92.92,2.0,1
265,96.67,3.51,1020.7,32.4,1.61,48.58,72.53,1.0,1
266,92.73,5.75,969.2,105.4,2.12,42.49,82.94,0.0,1
267,93.22,6.36,1113.4,120.9,0.65,46.04,58.66,1.0,1
268,62.35,7.2,508.7,133.1,2.53,35.64,43.08,1.0,1
269,56.42,5.04,866.1,144.0,2.85,26.01,44.66,1.0,1
270,102.84,7.86,335.5,65.6,2.12,45.1,72.5,0.0,1
271,102.91,9.02,699.9,21.8,2.89,43.82,90.41,0.0,1
272,108.04,8.46,834.0,150.2,0.88,49.65,66.95,0.0,1
273,112.19,3.28,1047.9,116.4,1.69,62.38,85.81,0.0,1
274,76.02,6.36,1435.7,170.5,2.0,37.58,59.09,2.0,1
275,75.14,3.73,980.8,167.8,1.95,33.47,59.79,0.0,1
276,101.85,4.69,1166.7,171.8,1.5,44.12,68.92,1.0,1
277,88.5,9.91,858.1,107.3,1.35,41.29,62.78,0.0,1
278,93.18,4.0,1024.3,80.1,0.82,54.79,79.49,2.0,1
279,101.62,6.49,292.2,162.5,1.48,47.62,66.92,2.0,1
280,110.1,7.33,530.7,101.2,0.91,65.8,93.37,2.0,1
281,60.42,7.92,670.4,53.0,2.34,30.03,46.45,1.0,1
282,63.8,6.92,814.2,173.9,1.02,27.81,52.87,0.0,1
283,38.46,3.07,259.3,178.9,0.65,22.24,31.31,0.0,1
284,82.05,5.29,382.0,103.9,1.88,40.37,54.33,0.0,1
285,33.23,6.62,559.9,33.6,1.99,18.01,25.61,1.0,1
286,71.9,3.62,1463.0,89.8,2.68,42.91,61.86,1.0,1
287,78.84,5.45,630.8,164.6,1.94,32.33,57.52,2.0,1
288,55.79,3.23,826.7,182.3,1.36,23.39,49.65,2.0,1
289,83.17,3.55,454.9,56.6,2.51,45.25,61.19,0.0,1
290,32.75,5.78,994.0,32.1,1.85,14.94,21.05,1.0,1
291,33.36,3.93,564.9,177.9,0.7,14.57,23.91,1.0,1
292,104.03,6.97,469.1,90.1,1.91,42.43,92.12,0.0,1
293,62.42,7.83,871.5,117.5,2.77,25.24,43.44,0.0,1
294,41.44,8.6,207.2,194.3,1.49,22.99,35.65,2.0,1
295,77.0,4.4,210.0,32.0,1.24,32.87,66.56,2.0,1
296,99.3,4.17,484.8,136.7,0.86,49.01,70.01,2.0,1
297,49.42,3.73,247.7,33.3,0.88,25.76,30.89,0.0,1
298,86.06,7.46,340.4,87.6,1.58,41.8,70.34,0.0,1
299,37.68,7.95,640.5,164.7,1.99,15.28,26.13,2.0,1
300,34.65,3.22,1243.4,98.0,0.7,19.29,28.93,2.0,1
301,77.82,9.55,943.7,199.5,2.85,31.29,57.03,1.0,1
302,78.66,3.36,866.5,120.6,2.39,43.45,58.65,1.0,1
303,87.37,6.79,581.5,77.8,1.97,50.56,72.81,2.0,1
304,95.35,7.96,1411.3,59.6,2.57,46.39,68.15,2.0,1
305,117.83,9.1,716.1,83.1,0.7,59.75,86.36,1.0,1
306,76.47,8.0,313.2,87.1,1.69,37.88,54.51,2.0,1
307,59.07,8.61,1002.2,32.4,2.08,28.22,41.95,1.0,1
308,101.57,5.38,348.0,86.5,2.57,58.65,76.97,1.0,1
309,54.37,8.7,648.8,103.6,2.46,31.47,45.82,1.0,1
310,69.51,3.56,859.6,150.1,1.19,32.47,49.25,0.0,1
311,37.06,9.26,1336.5,138.2,2.85,19.38,28.07,0.0,0
312,32.28,6.83,841.6,147.6,0.81,18.9,25.86,2.0,1
313,116.64,8.72,1112.9,21.5,2.69,69.1,79.41,1.0,1
314,105.24,6.17,1490.7,59.2,2.93,52.81,71.9,0.0,1
315,92.64,7.51,370.9,139.1,0.94,45.44,81.52,2.0,1
316,66.81,6.68,557.2,107.1,2.31,30.45,54.58,2.0,1
317,45.6,8.12,712.9,21.0,0.6,26.98,35.25,2.0,1
318,44.08,3.57,748.4,164.8,1.51,18.89,35.01,2.0,1
319,52.52,3.42,734.3,159.1,1.79,27.1,31.97,2.0,1
320,79.43,4.73,1379.9,118.7,1.95,36.26,62.39,1.0,1
321,94.31,4.12,1128.2,32.0,2.84,42.99,71.0,2.0,1
322,89.42,9.1,990.3,158.0,2.18,43.01,68.29,1.0,1
323,55.19,4.53,602.2,125.1,1.7,33.1,39.07,0.0,1
324,115.94,9.83,1270.9,160.8,2.52,47.65,72.4,2.0,1
325,96.41,5.36,1441.6,155.3,2.88,49.72,63.44,0.0,1
326,79.89,4.27,1267.6,164.5,0.56,33.28,70.72,1.0,1
327,85.05,8.53,202.0,113.2,2.96,36.65,61.46,1.0,1
328,67.76,7.61,1027.3,45.3,0.72,33.06,50.15,0.0,1
329,52.3,6.49,266.5,140.8,2.54,26.26,32.2,2.0,0
330,62.04,6.89,534.9,131.7,1.2,28.03,37.92,2.0,1
331,98.21,8.03,277.4,153.6,0.83,45.5,80.05,0.0,1
332,31.3,4.6,984.9,50.6,1.6,13.06,23.83,0.0,1
333,40.45,9.97,1092.6,55.1,2.11,18.63,30.44,0.0,1
334,34.14,9.82,348.8,180.3,1.45,20.26,22.97,2.0,0
335,33.67,7.55,699.0,155.0,0.64,19.83,27.72,2.0,1
336,106.99,4.4,793.1,183.5,2.0,49.96,69.59,2.0,1
337,93.33,7.76,679.8,156.6,2.76,47.99,61.32,0.0,1
338,72.68,3.51,357.3,127.5,1.46,42.29,53.65,2.0,1
339,38.81,3.21,744.6,137.7,1.04,15.57,26.62,1.0,1
340,74.25,4.8,1176.5,180.0,1.61,41.74,50.06,0.0,1
341,72.61,6.24,292.3,124.2,0.62,42.82,57.62,2.0,1
342,45.59,9.08,304.2,133.8,2.55,19.07,36.26,0.0,1
343,69.05,8.09,661.2,48.2,2.57,29.85,58.51,1.0,1
344,65.87,8.2,1424.2,105.3,1.97,39.0,47.77,1.0,1
345,85.43,5.98,1069.1,149.0,1.38,43.35,53.13,0.0,1
346,87.16,5.42,1082.3,68.8,2.5,35.11,59.45,0.0,1
347,34.08,5.6,670.5,56.4,1.89,15.39,30.47,1.0,1
348,63.72,9.91,971.8,76.5,2.56,31.22,49.63,0.0,1
349,86.33,3.28,213.2,63.5,2.08,46.49,70.18,1.0,1
350,75.28,9.07,1026.9,58.7,2.46,41.15,45.34,1.0,0
351,107.08,7.05,1387.3,96.5,2.0,64.15,80.9,2.0,1
352,89.28,6.07,996.3,183.4,1.54,40.85,54.57,0.0,1
353,44.66,8.08,1335.8,111.3,2.89,22.67,34.43,0.0,1
354,36.35,6.41,1141.2,53.8,1.85,18.42,31.85,2.0,1
355,87.82,9.11,356.7,33.9,2.01,42.25,78.2,1.0,1
356,32.39,9.3,1373.2,145.3,1.05,14.05,24.68,0.0,1
357,82.72,5.95,286.4,88.9,2.06,49.26,61.0,2.0,1
358,114.62,4.94,894.2,167.9,1.93,65.41,101.27,2.0,1
359,81.79,7.15,384.8,138.7,0.96,40.87,65.6,0.0,1
360,64.94,9.39,215.2,163.3,0.65,33.81,40.23,2.0,0
361,87.9,4.47,748.6,69.0,2.01,39.15,65.02,1.0,1
362,71.24,7.36,583.6,144.6,2.41,36.25,47.88,2.0,1
363,79.11,7.42,831.8,67.5,1.81,42.64,58.61,1.0,1
364,114.73,8.13,950.4,189.0,1.07,57.71,84.52,1.0,1
365,64.75,3.92,256.9,134.5,2.17,38.72,50.16,0.0,1
366,116.51,8.01,359.9,78.4,0.7,60.85,82.37,2.0,1
367,111.48,9.36,926.2,68.5,1.6,52.86,72.38,1.0,1
368,47.62,4.26,646.1,54.4,0.91,26.4,35.77,1.0,1
369,36.24,4.66,1147.9,145.0,0.96,15.73,30.77,2.0,1
370,39.07,9.8,1048.0,59.4,1.01,18.63,31.22,1.0,1
371,31.64,4.27,1299.3,127.2,1.47,14.85,22.2,2.0,1
372,38.5,8.98,1100.2,67.6,0.63,18.72,33.91,0.0,1
373,91.47,6.45,758.9,139.2,1.49,50.89,79.91,1.0,1
374,36.41,4.73,1074.9,166.7,1.78,18.09,24.13,1.0,1
375,58.71,9.1,558.0,160.0,1.71,32.81,35.92,2.0,0
376,106.04,6.12,598.2,157.0,1.46,54.64,87.21,2.0,1
377,32.09,6.6,1225.7,53.8,2.6,15.03,27.23,2.0,1
378,103.3,5.51,780.3,35.9,0.86,58.06,91.98,2.0,1
379,55.37,7.15,1237.9,145.8,1.76,24.79,48.0,1.0,1
380,40.63,4.14,1269.1,86.3,0.66,18.08,31.7,0.0,1
381,92.71,5.74,1314.8,97.8,0.68,46.44,70.37,0.0,1
