,length,diameter,mass,motor_thrust,burn_time,cg,cp,material,wind_speed,temperature,humidity,stable
149,55.08,7.57,1272.3,143.6,1.69,31.59,33.71,1,4.6,13.2,65.0,1
52,114.55,9.03,924.2,138.0,0.92,67.33,72.76,2,19.0,33.4,46.1,1
1,115.56,4.05,1402.6,91.8,0.81,58.75,70.19,0,2.7,15.2,33.5,1
87,87.38,7.03,781.0,92.0,0.98,37.87,61.62,2,11.4,33.5,25.2,1
235,69.53821522927869,6.832728647789929,1179.690930521407,123.1363575656083,1.9363630366022653,36.41365546823029,53.878201069059,1,22.66363921615996,20.336379288672592,41.07276340469281,0
157,98.55,7.31,528.8,130.0,0.59,56.78,71.6,1,18.2,34.4,42.3,1
37,38.79,3.66,1321.9,86.4,1.22,21.14,28.78,2,24.3,29.6,53.9,0
129,75.97,5.11,1364.7,74.5,1.02,34.33,56.94,0,8.4,32.4,65.0,0
191,110.75,6.18,1140.9,137.9,1.89,57.2,68.89,1,2.2,15.4,64.4,1
187,79.97,4.65,628.9,110.1,1.37,33.07,51.12,0,18.6,16.5,67.9,1
20,85.07,7.77,1291.6,77.7,2.11,45.89,75.31,1,3.4,15.7,34.2,1
160,63.1,6.02,1204.1,72.8,0.67,35.66,55.13,0,24.9,18.3,25.6,0
203,108.04420612696946,7.928931650379862,528.1032668271893,188.46044757452424,1.3532035320585338,55.70645121484874,85.94512193721889,2,23.610497792463416,18.39945805680491,44.56742273621958,0
57,47.64,8.02,968.7,104.5,1.44,22.89,35.61,2,20.3,16.8,74.2,0
21,42.55,7.19,1289.6,81.4,0.51,19.55,27.46,0,0.1,28.6,42.3,1
235,69.53821522927869,6.832728647789929,1179.690930521407,123.1363575656083,1.9363630366022653,36.41365546823029,53.878201069059,1,22.66363921615996,20.336379288672592,41.07276340469281,0
88,109.85,5.36,1450.4,165.4,0.7,65.72,67.0,2,10.9,16.8,34.2,1
48,79.2,9.76,876.3,168.4,1.5,45.46,69.4,2,6.9,12.3,33.5,1
218,96.53456497688406,6.665657478112506,865.4632751352613,155.4127230907994,1.1384877033806513,42.07499338754645,73.99038145588158,0,25.57674864412899,36.853335314949184,50.24488297865408,0
58,34.07,7.21,556.3,146.9,1.63,16.9,21.1,1,13.3,36.7,74.6,1
169,83.18,3.95,848.3,173.2,1.45,38.05,55.84,2,2.4,21.3,58.6,1
219,35.94179558929335,4.917743838243063,1219.0717996842848,146.82513210761994,1.178051341551156,15.331538881537572,28.49533528982919,1,22.72666621166763,27.084103229101157,49.534868574878615,0
187,79.97,4.65,628.9,110.1,1.37,33.07,51.12,0,18.6,16.5,67.9,1
207,50.07753055511682,7.449217655544451,1124.762699360684,174.49814614845823,2.025821284890389,27.572178323323886,36.51914350148278,1,25.817167238424485,15.740674840171051,29.808027463749713,0
14,46.36,8.13,1131.8,181.0,2.24,25.09,37.46,1,27.5,17.5,32.6,0
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
174,88.07,3.96,1362.4,169.6,0.56,46.4,59.37,2,26.3,35.0,53.5,0
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
50,117.26,5.41,1277.1,63.0,0.63,67.42,98.38,2,19.1,37.9,47.7,0
107,98.0,5.6,1322.5,171.5,1.18,54.06,82.37,2,29.2,11.3,21.3,0
54,83.81,4.6,611.2,114.7,0.91,50.25,67.52,0,4.3,24.9,62.4,1
63,62.11,6.87,1083.4,85.6,1.38,30.03,45.75,1,24.6,23.3,27.9,0
130,67.57,5.81,1312.9,74.6,0.78,36.8,51.8,0,28.3,26.7,37.4,0
228,86.1493545048726,7.3855591640077325,1120.6742949931627,156.09382438963732,1.7616612539884018,35.442933394108984,66.68309688913824,0,27.149529995441824,36.15047000455817,44.444619154891384,0
50,117.26,5.41,1277.1,63.0,0.63,67.42,98.38,2,19.1,37.9,47.7,0
134,114.86,3.8,1269.0,103.8,0.84,61.64,102.51,2,17.2,32.6,78.7,1
20,85.07,7.77,1291.6,77.7,2.11,45.89,75.31,1,3.4,15.7,34.2,1
72,30.5,9.14,543.2,62.0,1.79,12.46,25.44,1,11.0,21.6,36.5,0
166,58.87,9.75,892.2,164.4,1.94,33.35,47.96,2,14.3,34.5,65.4,1
17,77.23,8.35,828.7,91.5,1.3,39.66,62.1,0,24.5,33.7,42.4,0
131,49.99,8.43,1499.7,172.2,2.17,24.95,40.78,2,26.2,15.4,67.2,0
88,109.85,5.36,1450.4,165.4,0.7,65.72,67.0,2,10.9,16.8,34.2,1
59,59.28,4.13,618.8,135.6,0.63,31.15,45.92,0,13.4,23.5,66.8,1
13,49.11,4.96,1073.4,62.3,2.34,20.03,41.18,0,5.6,38.9,78.9,0
8,84.1,3.53,1405.4,125.5,1.4,37.84,57.36,0,25.8,20.6,39.3,0
89,72.5,7.34,1390.3,78.1,0.99,32.36,45.21,1,29.9,39.3,63.9,0
52,114.55,9.03,924.2,138.0,0.92,67.33,72.76,2,19.0,33.4,46.1,1
129,75.97,5.11,1364.7,74.5,1.02,34.33,56.94,0,8.4,32.4,65.0,0
83,35.72,4.11,1127.6,150.3,0.71,20.57,21.54,0,6.9,22.7,53.7,1
91,94.19,3.74,1120.1,113.8,2.21,49.91,60.26,0,10.0,10.3,27.7,1
110,56.08,6.35,1113.4,164.0,1.68,31.58,35.0,1,23.1,12.9,25.3,0
187,79.97,4.65,628.9,110.1,1.37,33.07,51.12,0,18.6,16.5,67.9,1
198,109.84,8.38,692.3,154.5,2.4,60.4,86.24,2,6.9,25.3,79.8,1
171,31.49,3.62,1283.7,177.0,2.37,18.78,20.6,1,3.7,25.7,73.8,1
7,107.96,7.81,510.8,104.6,2.35,61.52,79.22,0,3.7,29.6,21.4,1
174,88.07,3.96,1362.4,169.6,0.56,46.4,59.37,2,26.3,35.0,53.5,0
34,116.91,4.77,584.1,66.1,1.5,48.56,93.0,1,22.0,13.8,64.4,0
205,66.97696581710338,7.407581436776523,619.2124616126703,101.9412364040216,1.9539571793952097,37.64809516961298,46.4272060374209,0,22.325184398276463,36.49093935654672,21.423852710220874,0
80,107.68,9.29,1129.4,172.6,0.96,60.01,84.58,2,8.1,26.5,71.2,1
163,78.22,7.05,514.5,161.6,1.28,42.92,61.75,0,24.8,29.7,31.2,0
49,46.64,9.04,583.5,124.8,1.69,18.85,36.61,1,6.2,18.4,42.6,1
103,75.77,7.64,1313.8,70.2,1.67,44.37,57.77,0,29.4,37.6,38.5,0
131,49.99,8.43,1499.7,172.2,2.17,24.95,40.78,2,26.2,15.4,67.2,0
1,115.56,4.05,1402.6,91.8,0.81,58.75,70.19,0,2.7,15.2,33.5,1
133,60.39,4.25,1055.4,128.5,1.55,26.82,54.28,1,23.6,19.6,41.4,0
53,110.53,5.56,1406.4,161.8,2.3,61.87,70.47,1,1.8,34.8,76.2,1
105,52.44,9.84,662.6,198.5,2.29,22.8,45.17,0,11.5,28.5,78.0,1
3,83.88,9.34,1326.5,63.3,1.71,45.84,58.47,0,12.0,35.4,23.2,0
53,110.53,5.56,1406.4,161.8,2.3,61.87,70.47,1,1.8,34.8,76.2,1
220,92.32547886128395,7.753527227658071,585.9805788415799,133.5090441600775,0.9600418887047251,50.16275799554837,68.04066736045522,2,24.28326351882546,28.107321022969145,38.11895468245342,0
190,38.38,9.94,638.8,73.0,2.1,15.87,25.75,2,5.1,10.1,27.1,0
145,33.32,7.5,858.2,184.9,0.52,19.18,24.25,1,6.4,22.4,29.7,1
217,60.35638170514974,5.917806909413903,955.3110856127869,75.6159662522202,0.5577225399644378,29.318156145647407,46.095746252219826,2,20.417562877442233,12.38100603907577,57.27983126110107,0
43,111.84,5.91,870.6,99.1,2.42,58.74,95.45,0,26.1,14.0,61.9,0
161,86.91,7.68,713.0,96.8,1.71,37.0,57.64,1,9.5,15.8,46.5,1
201,90.67797713845697,8.05385263001817,597.6855333257329,91.28567235401758,1.2338387271896964,47.45200973197993,62.57500733804692,1,24.759944388686105,34.93922144160543,39.45855410583866,0
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
227,86.1016633110989,6.968929255664932,626.7064460615996,95.93066425217226,0.8964657076119261,43.54806618152011,64.7556345394567,0,26.89937650203502,34.826923264382394,33.230561148168476,0
13,49.11,4.96,1073.4,62.3,2.34,20.03,41.18,0,5.6,38.9,78.9,0
94,99.39,4.33,963.7,67.2,1.84,44.34,83.51,1,28.8,12.1,69.7,0
47,76.81,9.78,1253.4,151.9,2.49,31.1,46.84,2,9.4,34.3,71.2,1
14,46.36,8.13,1131.8,181.0,2.24,25.09,37.46,1,27.5,17.5,32.6,0
199,100.19,8.4,540.9,188.4,1.39,42.68,81.36,2,7.0,31.7,78.8,1
205,66.97696581710338,7.407581436776523,619.2124616126703,101.9412364040216,1.9539571793952097,37.64809516961298,46.4272060374209,0,22.325184398276463,36.49093935654672,21.423852710220874,0
214,32.47595498593304,7.125486314542542,817.357978991011,57.691745573769566,2.3740549144368557,14.43667929180313,23.61059692014785,1,6.754221901638694,24.862385954521177,30.021285939713856,0
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
39,69.61,4.65,581.3,106.6,1.76,32.23,45.64,1,4.5,28.4,29.9,1
212,52.99671989761016,8.599218174805685,627.0956340669512,89.70482274012589,2.072524962598477,27.673276067694218,35.904773823602845,0,14.221712417305586,24.606819748004064,23.418344988195937,0
207,50.07753055511682,7.449217655544451,1124.762699360684,174.49814614845823,2.025821284890389,27.572178323323886,36.51914350148278,1,25.817167238424485,15.740674840171051,29.808027463749713,0
81,86.1,5.7,1195.7,88.7,1.84,35.98,69.8,0,17.8,34.9,22.8,1
110,56.08,6.35,1113.4,164.0,1.68,31.58,35.0,1,23.1,12.9,25.3,0
52,114.55,9.03,924.2,138.0,0.92,67.33,72.76,2,19.0,33.4,46.1,1
23,62.97,5.89,994.4,122.7,1.3,37.42,55.61,2,15.5,35.0,68.1,1
153,74.05,4.56,1060.9,100.2,2.33,39.69,60.54,0,28.0,36.3,40.6,0
216,86.1401098175507,8.2313543619775,590.6427011609943,80.90624399296092,1.97624998030479,43.532709984448445,58.138024547521695,0,23.728125541618276,37.60625029542815,35.948962485740125,0
187,79.97,4.65,628.9,110.1,1.37,33.07,51.12,0,18.6,16.5,67.9,1
123,39.9,5.32,1342.1,161.2,2.1,22.42,26.56,0,10.3,36.4,28.5,1
40,40.98,9.61,584.8,53.0,0.53,20.81,35.27,1,12.7,35.8,62.0,0
156,90.49,3.67,634.0,143.0,1.54,39.07,78.75,1,9.4,26.7,67.9,1
14,46.36,8.13,1131.8,181.0,2.24,25.09,37.46,1,27.5,17.5,32.6,0
44,53.29,3.6,1312.8,68.0,0.8,30.76,44.14,0,14.2,13.1,75.8,0
64,55.28,9.2,1462.2,65.3,1.3,26.77,33.36,0,18.1,11.4,43.9,0
88,109.85,5.36,1450.4,165.4,0.7,65.72,67.0,2,10.9,16.8,34.2,1
70,99.5,8.76,512.2,76.0,1.25,45.7,80.45,2,17.9,11.1,22.2,1
8,84.1,3.53,1405.4,125.5,1.4,37.84,57.36,0,25.8,20.6,39.3,0
87,87.38,7.03,781.0,92.0,0.98,37.87,61.62,2,11.4,33.5,25.2,1
128,30.63,6.23,556.4,80.2,1.77,14.54,24.43,2,24.8,39.4,47.6,0
235,69.53821522927869,6.832728647789929,1179.690930521407,123.1363575656083,1.9363630366022653,36.41365546823029,53.878201069059,1,22.66363921615996,20.336379288672592,41.07276340469281,0
135,59.09,3.76,1444.8,181.6,1.04,24.54,46.98,2,17.0,18.1,67.6,1
215,46.48973928275433,5.236954780256937,1183.2728622270934,127.36520301969507,1.618477390128469,22.398688077602607,35.04416253429744,1,22.95380652467883,18.736104286898268,43.277952979345145,0
62,104.59,4.41,1246.0,140.9,1.55,57.91,72.49,0,10.2,39.6,33.5,1
138,62.73,6.58,950.5,115.9,0.74,31.12,39.0,0,11.9,13.2,72.3,1
80,107.68,9.29,1129.4,172.6,0.96,60.01,84.58,2,8.1,26.5,71.2,1
135,59.09,3.76,1444.8,181.6,1.04,24.54,46.98,2,17.0,18.1,67.6,1
162,87.02,6.48,636.4,87.3,0.99,40.64,68.48,0,28.6,36.4,31.7,0
162,87.02,6.48,636.4,87.3,0.99,40.64,68.48,0,28.6,36.4,31.7,0
32,35.85,7.25,1118.2,126.8,0.78,15.99,23.8,2,7.7,18.0,79.5,1
122,58.62,7.79,1469.9,60.0,2.29,33.56,50.5,2,6.8,19.5,45.7,0
4,44.04,7.44,820.0,68.1,1.35,24.72,32.88,2,29.3,31.7,49.2,0
233,65.79348860656924,7.7783162899583855,1127.255772285979,175.98159200277695,2.1372609386395283,30.495655228504823,52.01733469430684,0,27.26290985839891,24.968339460434294,37.02568264322032,0
230,58.51541360319843,7.834151742362337,1469.6588876480923,60.16596045001446,2.258999840468997,33.347382744226756,49.963290167311726,1,7.153840204747812,19.246362331109975,45.64363607358,0
40,40.98,9.61,584.8,53.0,0.53,20.81,35.27,1,12.7,35.8,62.0,0
27,76.28,6.06,1387.7,162.1,1.19,43.4,52.04,0,5.2,11.3,30.4,1
134,114.86,3.8,1269.0,103.8,0.84,61.64,102.51,2,17.2,32.6,78.7,1
200,68.33907470881434,4.979662371727148,924.0630697050134,72.18896470832047,1.2904277641694963,34.75123746188104,56.00715995657657,1,19.03558588332819,24.327249584020464,54.051352038449664,0
71,47.88,8.77,1469.9,184.5,1.04,21.39,41.08,2,12.0,25.3,36.5,1
11,117.29,8.0,1450.1,169.9,2.18,70.08,86.26,1,8.9,15.3,61.7,1
161,86.91,7.68,713.0,96.8,1.71,37.0,57.64,1,9.5,15.8,46.5,1
32,35.85,7.25,1118.2,126.8,0.78,15.99,23.8,2,7.7,18.0,79.5,1
47,76.81,9.78,1253.4,151.9,2.49,31.1,46.84,2,9.4,34.3,71.2,1
150,111.74,6.77,1020.2,67.5,1.7,60.53,96.11,1,6.7,14.5,53.5,0
61,54.42,9.94,1149.2,198.0,1.41,32.48,45.67,2,0.5,13.2,23.4,1
215,46.48973928275433,5.236954780256937,1183.2728622270934,127.36520301969507,1.618477390128469,22.398688077602607,35.04416253429744,1,22.95380652467883,18.736104286898268,43.277952979345145,0
36,57.42,5.33,572.8,129.9,2.33,26.87,49.34,1,20.1,17.3,32.2,0
98,32.29,7.55,1474.4,73.2,0.53,17.95,25.54,2,12.3,19.7,78.8,0
171,31.49,3.62,1283.7,177.0,2.37,18.78,20.6,1,3.7,25.7,73.8,1
103,75.77,7.64,1313.8,70.2,1.67,44.37,57.77,0,29.4,37.6,38.5,0
213,50.733776514133645,7.947428378249525,1121.590625491461,109.38378113309417,0.9321223937855787,22.921883805280473,37.83488346721714,1,28.027042713620734,35.05541192335746,47.04060858829458,0
218,96.53456497688406,6.665657478112506,865.4632751352613,155.4127230907994,1.1384877033806513,42.07499338754645,73.99038145588158,0,25.57674864412899,36.853335314949184,50.24488297865408,0
34,116.91,4.77,584.1,66.1,1.5,48.56,93.0,1,22.0,13.8,64.4,0
192,111.04,5.92,681.9,125.9,1.04,52.1,72.28,1,23.5,10.9,39.2,0
226,101.17251792333414,7.465742683484602,1357.3221610156438,97.92779863506064,0.9382843486983512,45.811453399331235,77.58100865858609,2,24.667831538094084,25.274186090876572,20.922319294841174,0
100,32.83,3.84,1198.2,129.9,0.92,13.51,20.01,0,24.7,24.2,63.5,0
174,88.07,3.96,1362.4,169.6,0.56,46.4,59.37,2,26.3,35.0,53.5,0
205,66.97696581710338,7.407581436776523,619.2124616126703,101.9412364040216,1.9539571793952097,37.64809516961298,46.4272060374209,0,22.325184398276463,36.49093935654672,21.423852710220874,0
130,67.57,5.81,1312.9,74.6,0.78,36.8,51.8,0,28.3,26.7,37.4,0
0,63.71,7.67,603.1,75.3,1.91,27.84,52.72,1,17.4,16.6,26.2,1
4,44.04,7.44,820.0,68.1,1.35,24.72,32.88,2,29.3,31.7,49.2,0
217,60.35638170514974,5.917806909413903,955.3110856127869,75.6159662522202,0.5577225399644378,29.318156145647407,46.095746252219826,2,20.417562877442233,12.38100603907577,57.27983126110107,0
141,52.66,6.58,1106.2,95.2,1.61,24.73,38.9,0,20.2,39.0,65.2,0
102,58.29,7.01,809.5,100.5,0.86,33.62,35.88,0,9.0,24.6,40.3,1
26,47.97,9.82,941.5,119.4,1.19,27.46,34.5,0,19.4,11.9,38.0,1
136,76.69,9.06,1349.6,108.9,0.54,43.73,50.6,0,11.7,26.2,49.8,1
206,71.75687408104946,6.67108487141356,1152.0850408797207,141.77124019961056,2.091309481679956,32.90770063152233,57.23254614240679,1,23.622554150534636,22.85734639560539,33.78214664880399,0
14,46.36,8.13,1131.8,181.0,2.24,25.09,37.46,1,27.5,17.5,32.6,0
89,72.5,7.34,1390.3,78.1,0.99,32.36,45.21,1,29.9,39.3,63.9,0
41,74.57,9.7,1486.6,98.3,1.83,41.62,62.12,0,4.6,21.8,55.1,1
123,39.9,5.32,1342.1,161.2,2.1,22.42,26.56,0,10.3,36.4,28.5,1
204,69.70907162824065,6.962910428502907,1391.8130137127969,72.18760795307027,1.04353740829897,30.59093781272969,44.56056796019945,0,24.173825025414516,33.73676496371573,60.454984161631494,0
178,114.31,8.79,992.1,158.0,1.49,63.12,80.91,2,0.5,30.4,73.8,1
62,104.59,4.41,1246.0,140.9,1.55,57.91,72.49,0,10.2,39.6,33.5,1
95,74.44,6.89,853.4,141.6,0.91,32.4,49.13,1,19.0,38.8,67.3,1
230,58.51541360319843,7.834151742362337,1469.6588876480923,60.16596045001446,2.258999840468997,33.347382744226756,49.963290167311726,1,7.153840204747812,19.246362331109975,45.64363607358,0
51,99.76,6.0,1058.4,130.6,2.0,50.46,74.27,1,7.7,17.6,48.9,1
95,74.44,6.89,853.4,141.6,0.91,32.4,49.13,1,19.0,38.8,67.3,1
131,49.99,8.43,1499.7,172.2,2.17,24.95,40.78,2,26.2,15.4,67.2,0
221,79.56897864408697,4.854202606929555,584.0849381689784,144.3569207894481,1.3540053475478064,38.9479338240959,70.65328322292478,1,22.47898696535222,22.484971591152277,48.05991310234815,0
228,86.1493545048726,7.3855591640077325,1120.6742949931627,156.09382438963732,1.7616612539884018,35.442933394108984,66.68309688913824,0,27.149529995441824,36.15047000455817,44.444619154891384,0
150,111.74,6.77,1020.2,67.5,1.7,60.53,96.11,1,6.7,14.5,53.5,0
230,58.51541360319843,7.834151742362337,1469.6588876480923,60.16596045001446,2.258999840468997,33.347382744226756,49.963290167311726,1,7.153840204747812,19.246362331109975,45.64363607358,0
142,74.75,4.63,728.6,162.1,1.8,40.04,64.32,0,16.0,24.7,21.1,1
170,90.98,4.16,1014.0,66.6,1.83,47.62,81.1,1,23.3,26.2,31.8,0
28,83.32,9.3,850.9,55.5,1.98,38.65,74.59,2,10.8,21.1,58.3,0
35,102.76,8.2,1201.0,117.1,1.34,55.41,73.02,0,25.5,35.9,77.0,0
12,104.92,7.74,1450.6,144.2,0.75,61.78,68.1,2,23.8,21.6,64.8,0
159,95.54,7.24,1120.3,168.3,1.98,38.77,74.3,0,26.9,36.4,43.8,0
70,99.5,8.76,512.2,76.0,1.25,45.7,80.45,2,17.9,11.1,22.2,1
186,103.55,5.33,575.9,137.5,1.88,55.67,86.16,2,22.6,33.4,38.8,0
85,59.27,3.73,1401.2,133.5,0.86,29.25,44.77,0,5.7,25.4,38.9,1
27,76.28,6.06,1387.7,162.1,1.19,43.4,52.04,0,5.2,11.3,30.4,1
65,78.84,8.31,874.9,72.9,1.62,43.17,49.02,2,10.1,11.1,75.4,0
169,83.18,3.95,848.3,173.2,1.45,38.05,55.84,2,2.4,21.3,58.6,1
44,53.29,3.6,1312.8,68.0,0.8,30.76,44.14,0,14.2,13.1,75.8,0
61,54.42,9.94,1149.2,198.0,1.41,32.48,45.67,2,0.5,13.2,23.4,1
184,53.21,8.28,1133.4,77.2,1.96,22.37,42.41,2,6.4,21.6,64.0,1
133,60.39,4.25,1055.4,128.5,1.55,26.82,54.28,1,23.6,19.6,41.4,0
27,76.28,6.06,1387.7,162.1,1.19,43.4,52.04,0,5.2,11.3,30.4,1
27,76.28,6.06,1387.7,162.1,1.19,43.4,52.04,0,5.2,11.3,30.4,1
107,98.0,5.6,1322.5,171.5,1.18,54.06,82.37,2,29.2,11.3,21.3,0
43,111.84,5.91,870.6,99.1,2.42,58.74,95.45,0,26.1,14.0,61.9,0
83,35.72,4.11,1127.6,150.3,0.71,20.57,21.54,0,6.9,22.7,53.7,1
29,34.18,7.6,617.1,87.9,1.4,19.34,24.71,0,27.2,18.0,49.8,0
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
74,93.62,6.82,1027.7,111.6,0.55,55.94,69.67,1,18.5,39.7,78.5,1
127,107.47,7.48,773.4,169.3,1.58,51.77,89.94,1,15.3,16.6,71.7,1
91,94.19,3.74,1120.1,113.8,2.21,49.91,60.26,0,10.0,10.3,27.7,1
216,86.1401098175507,8.2313543619775,590.6427011609943,80.90624399296092,1.97624998030479,43.532709984448445,58.138024547521695,0,23.728125541618276,37.60625029542815,35.948962485740125,0
230,58.51541360319843,7.834151742362337,1469.6588876480923,60.16596045001446,2.258999840468997,33.347382744226756,49.963290167311726,1,7.153840204747812,19.246362331109975,45.64363607358,0
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
224,111.63614242929462,4.183687877487013,1465.9480908265011,88.97425765456585,1.9205030298794925,50.21290454631675,75.93126972416687,1,17.11619697710888,25.525696972117185,52.82178787848535,0
128,30.63,6.23,556.4,80.2,1.77,14.54,24.43,2,24.8,39.4,47.6,0
120,102.67,7.07,1094.1,190.8,2.24,59.32,69.21,0,1.9,39.8,33.6,1
26,47.97,9.82,941.5,119.4,1.19,27.46,34.5,0,19.4,11.9,38.0,1
189,51.77,8.74,651.9,192.1,2.14,28.04,38.11,1,12.9,29.9,71.4,1
120,102.67,7.07,1094.1,190.8,2.24,59.32,69.21,0,1.9,39.8,33.6,1
115,108.43,8.02,526.4,189.4,1.37,55.95,85.99,2,23.6,18.2,44.2,0
204,69.70907162824065,6.962910428502907,1391.8130137127969,72.18760795307027,1.04353740829897,30.59093781272969,44.56056796019945,0,24.173825025414516,33.73676496371573,60.454984161631494,0
232,78.77100228162908,6.944413055938794,1205.2555163199236,82.48432725269213,1.2147434079639319,36.85403353058761,69.66749579637079,1,23.854532853402553,27.10393386608375,54.873080104728466,0
2,95.88,4.55,1005.3,76.6,1.65,55.09,58.16,2,21.5,29.7,62.2,0
102,58.29,7.01,809.5,100.5,0.86,33.62,35.88,0,9.0,24.6,40.3,1
197,110.74,6.29,672.3,134.8,0.77,65.75,74.71,0,19.0,36.2,39.4,1
199,100.19,8.4,540.9,188.4,1.39,42.68,81.36,2,7.0,31.7,78.8,1
154,118.71,3.96,1376.7,70.9,1.34,62.17,88.56,2,17.3,23.0,36.9,0
136,76.69,9.06,1349.6,108.9,0.54,43.73,50.6,0,11.7,26.2,49.8,1
61,54.42,9.94,1149.2,198.0,1.41,32.48,45.67,2,0.5,13.2,23.4,1
164,38.13,9.62,850.6,55.0,1.08,16.48,31.26,1,20.0,19.3,25.6,0
224,111.63614242929462,4.183687877487013,1465.9480908265011,88.97425765456585,1.9205030298794925,50.21290454631675,75.93126972416687,1,17.11619697710888,25.525696972117185,52.82178787848535,0
50,117.26,5.41,1277.1,63.0,0.63,67.42,98.38,2,19.1,37.9,47.7,0
233,65.79348860656924,7.7783162899583855,1127.255772285979,175.98159200277695,2.1372609386395283,30.495655228504823,52.01733469430684,0,27.26290985839891,24.968339460434294,37.02568264322032,0
171,31.49,3.62,1283.7,177.0,2.37,18.78,20.6,1,3.7,25.7,73.8,1
151,51.56,9.07,1352.2,191.0,1.83,29.26,39.89,1,28.7,12.8,53.2,0
206,71.75687408104946,6.67108487141356,1152.0850408797207,141.77124019961056,2.091309481679956,32.90770063152233,57.23254614240679,1,23.622554150534636,22.85734639560539,33.78214664880399,0
58,34.07,7.21,556.3,146.9,1.63,16.9,21.1,1,13.3,36.7,74.6,1
117,46.79,4.63,1310.6,194.8,2.4,26.93,38.34,1,18.3,30.3,67.5,1
159,95.54,7.24,1120.3,168.3,1.98,38.77,74.3,0,26.9,36.4,43.8,0
95,74.44,6.89,853.4,141.6,0.91,32.4,49.13,1,19.0,38.8,67.3,1
215,46.48973928275433,5.236954780256937,1183.2728622270934,127.36520301969507,1.618477390128469,22.398688077602607,35.04416253429744,1,22.95380652467883,18.736104286898268,43.277952979345145,0
232,78.77100228162908,6.944413055938794,1205.2555163199236,82.48432725269213,1.2147434079639319,36.85403353058761,69.66749579637079,1,23.854532853402553,27.10393386608375,54.873080104728466,0
179,42.38,5.33,758.2,146.2,1.69,21.54,32.97,2,18.1,32.7,30.1,1
112,113.67,3.66,1432.7,120.7,1.75,50.56,86.88,1,20.1,26.5,52.7,0
61,54.42,9.94,1149.2,198.0,1.41,32.48,45.67,2,0.5,13.2,23.4,1
185,89.4,8.72,740.1,186.3,1.49,52.52,62.36,2,14.5,29.3,69.2,1
51,99.76,6.0,1058.4,130.6,2.0,50.46,74.27,1,7.7,17.6,48.9,1
11,117.29,8.0,1450.1,169.9,2.18,70.08,86.26,1,8.9,15.3,61.7,1
38,91.58,7.7,1206.2,90.4,1.66,37.83,81.55,2,23.0,34.3,78.8,0
129,75.97,5.11,1364.7,74.5,1.02,34.33,56.94,0,8.4,32.4,65.0,0
